Index,KAB_No,Type,C_per_T,Inductance,Py_Volts,Phase1,KVA1,Sy_Volts,Phase2,KVA2,Connections,Rating,Cooling,Th_Cl,KVA_average,Turns,V_per_T,HZ,No_of_Coils,Sections_per_coil,Turns_per_section,Sense_of_winding,Turns_per_layer,No_Of_Layers,Size_of_conductor,Insulation,No_Of_parall_conductors,Wt_of_cu_per_Al_conductor_in_Kg,Former,Coil_dia_inner,Coil_Dia_outer,Ht_of_section_axial,Depth_of_wtg_Radial,Inter_layer_insulation,Radial_spacing,Axial_spacing,Clearance_Bet_Sections,Yoke_clearance,Inter_connection_of_sections,Inter_connection_of_coils,Tappings,Connecting_wirers,Clearance_Bt_Ht_and_Lt,Clearance_in_window,Core,C_D,Ht,Grade,Percentage,Kg,Drg_No,Core_loss,Conductor_loss,Total_losses,Resistance,Ambiant,Windings,Oil,Ohms_at_C,Test_particulars,App_Py_E,App_Sy_E,Induced,Impulse,Specification,Clamp_No,Terminal_board_no,Assy_No,Date
470,KAB 1858,INPUT,,,415,3 Ph  Delta ,,260,3 Ph  Star,55,DY 11,Cont,AN,B,,96/35,4.3,50,"3 Py, 3 Sy","one, one","96, 35","L-R, L-R","one, one","96, 35","0.2x305 Al.foil, 0.2x305 Al.foil","Bare, Electrolytic, Annealed as perIS 737","one, 2","36.5, 35.5",ED 2119-P11-3 Nos,"115x193, 191x269","179x257, 229(235)x307(345)","325, 325","32, 19","3 mil poly.film, 3 mil poly.film",-,-,-,"7.5,7.5",-,"Delta, Star at Finish",-,"35mm² cu.cable,70 mm² cu.cable",9 mil polyester film+6 thick F/G duct,25,100x150,260,340,41 CRGO,96,257,ED 2066-P11,350 W,1000 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,(See GA),(NA),GA 105 009 884 P4,
471,KAB 1857,IGBT Gate drive,,,15,single,,0.15,single,2.2,,Cont,AN,A,,30/44,0.5,10 KHZ,"1 Py, 1 Sy","one,one","30,44","L-R,L-R","30,30","1,2","28 SWG CU, 28 SWG Cu","S.E, S.E","one, one","5 gm,5 gm",Std bobbin suitable for EE 25 Ferrite core with pins,"10x10,11.5x11.5","11x11,13x13","13,13","0.5, 1"," -, P256 yellow tape-2 layer",-,-,-,-,-,-,-,"Same conductor, Same conductor",P256 yellow tape-1 layer+0.15 mm thick class-'F' insulating material 1 layer,1 mm,EE 25 ferrite core,-,-,HP3C,-,-,-,,,,,50 DegreeC MAX,,,,,,,,,,,,,03.02.2001
472, KAB 1855,INVERTER,,,105,single,,120-230,single,2.3,,Cont,AN,B,,64/74-140,1.64,50,"2 Sy, 2 Py","one, one","70, 32","L-R,L-R","18 1/2, 18 1/2,33,16","3, 2","13 SWG Cu, 13 SWG Cu","SE, SE","2 SS upto 37 turns,then one, 2SS","3.8, 3.4","(1)ID:72x120,OD:78x126(2)ID:72x65,OD:78x71-120 long F/G 2 each","79x127, 101x234","99x147, 113(118)x246(255)","100(120),90(120)","10, 6","6 mil polyester film, 6 mil polyester film",-,-,-,"10, 10",-,"Series at start,Series at start","at 37, -",Same conductor with suitable tag,(1)6 mil poly.film+10 mil varnished F/G(2)6 thick F/G duct between sy.wdg& bobbin of py wdg(3) 6 thick duct on narrow end only,20,70x90,140,140,41 CRGO,96,47,,60 W,90 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,GA105 009 878 P6,
473,KAB 1855,INVERTER,,,105,single,,120-230,single,2.3,,Cont,AN,B,,64/74-140,1.64,50,"2 Sy, 2 Py","one, one","70, 32","L-R,L-R","18 1/2, 18 1/2,33,16","3, 2","13 SWG Cu, 13 SWG Cu","SE, SE","2 SS upto 37 turns,then one, 2SS","3.8, 3.4","(1)ID:72x120,OD:78x126(2)ID:72x65,OD:78x71-120 long F/G 2 each","79x127, 101x234","99x147, 113(118)x246(255)","100(120),90(120)","10, 6","6 mil polyester film, 6 mil polyester film",-,-,-,"10, 10",-,"Series at start,Series at start","at 37, -",Same conductor with suitable tag,(1)6 mil poly.film+10 mil varnished F/G(2)6 thick F/G duct between sy.wdg& bobbin of py wdg(3) 6 thick duct on narrow end only,20,70x90,140,140,41 CRGO,96,47,,60 W,90 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,(GA),,GA105 009 878 P6,
474,KAB 1855,INVERTER,,,105,single,,120-230,single,2.3,,Cont,AN,B,,64/74-140,1.64,50,"2 Sy, 2 Py","one, one","70, 32","L-R,L-R","18 1/2, 18 1/2,33,16","3, 2","13 SWG Cu, 13 SWG Cu","SE, SE","2 SS upto 37 turns,then one, 2SS","3.8, 3.4","(1)ID:72x120,OD:78x126(2)ID:72x65,OD:78x71-120 long F/G 2 each","79x127, 101x234","99x147, 113(118)x246(255)","100(120),90(120)","10, 6","6 mil polyester film, 6 mil polyester film",-,-,-,"10, 10",-,"Series at start,Series at start","at 37, -",Same conductor with suitable tag,(1)6 mil poly.film+10 mil varnished F/G(2)6 thick F/G duct between sy.wdg& bobbin of py wdg(3) 6 thick duct on narrow end only,20,70x90,140,140,41 CRGO,96,47,,60 W,90 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,(GA),205 603 336x2 Nos,GA 105 009 879 P6,
475,KAB 1853,INPUT,,,415,3 Ph  Delta ,,62,3 Ph  Star,9.2,DY 11,Cont,AN,B,,264/23,1.57,50,"3 Py, 3 Sy","one, one","264, 23","L-R,L-R","88,23","3, one","13 SWG Cu, 8x3 Cu","SE, F/G","one, 2 ab","13.5, 16.5","ID:72x110, OD:78x116-260 long-F/G 3 Nos","79x117, 101x151","99x137, 117(125)x167(175)","240(260), 228(260)","10, 8",6 mil poly.film,-,-,-,"10, 10",-,"Delta, Star at Finish",-,"Same conductor, Same conductor",9 mil poly.film+10 mil sil.varnishes F/G -6 thick F/G duct on narrow end only,15,70x80,140,280,41 CRGO,96,66,Ed 2066-P10,95 W,300 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,(GA),"Itam 16,(2nos)",GA 105 009 802 P10,14.12.2000
476,KAB 1852/A,D.C.FILTER,,1mH,,single,,,,,,Cont,AN,B,,15,,100,one,one,15,L-R,3 3/4,4,4x3 Cu,F/G,3 SS,1.7,"Std bobbin suitable for Type 43, 2 1/2""stack",56x69,92(93)x105(107),68,18,6 mil polyester film,-,-,-,-,-,-,-,Same conductor with suitable tag,-,1.5,"Type 43,21/2""stack",-,-,51 CRGO,96,7.4,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,SK 3008-4 Nos,201 400 314-1 No,105 009 375,
477,KAB 1852,D.C.FILTER,,1mH,,single,,,,,,Cont,AN,B,,25,,100,one,one,25,L-R,12 1/2,2,7x3 Cu,F/G,3 ab,5,"Std bobbin suitable for Type 8,2 1/2""stack",56x69,106(110)x119(123),110,25,6 mil polyester film,-,-,-,-,-,-,-,Same conductor with suitable tag,-,7,"Type 8,2 1/2""stack",-,-,51 CRGO,96,9.75,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,205 008 622-4 Nos,205 603 337-1 No,105 009 403,
478,KAB 1851,SHUNT,,20mH,230,single,,,,,,Cont,AN,B,,66+66=132,,50,2,one,66,L-R,33,2,4x3 Cu,F/G,2 ab,15,"ID:72x125,OD:78x131-190 long -F/G 2 Nos",79x132,123(125)x176(180),170(190),22,6 thick F/G duct,-,-,-,10,-,Series at Fh,-,Same conductor with suitable tag,-,15,70x95,140,210,41 CRGO,96,43,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,SEE(GA),205 603 336x1 No,GA 105 009 885 P1,
479,KAB 1850,THIRD HARMONIC,,6mH,29,single,,,,,,Cont,AN,B,,50,,150,one,50,50,L-R,10,5,12 SWG Cu,SE,2 SS,1.8,"Std bobbin suitable for Type 43, 3"" stack",57x82,91(93)x116(118),68,17,6 mim polyester film,-,-,-,-,-,-,-,Same conductor with suitable tag,-,3,"Type 43,3""stack",-,-,51 CRGO,96,8.6,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,"205 200 335,(4 Nos)",201 500 314(1No),Ga 105 009 379,
480,KAB 1849,INPUT,,,375-395-415,single,,230,single,7.6,,Cont,AN,B,,204-215-226/126,1.83,50,"2 Sy, 2 Py","one, one","63, 113","L-R,L-R","31 1/2, 37 2/3","2, 3","10 SWG Cu, 12 SWG cu","SE, SE","2 SS, 2 SS","9, 16","(1)ID:72x130, OD:78x136(2)ID:72x75, OD:78x81-260 long F/G,2 each","79x137, 96x236",6(120)x256(265),"240(260),235(260)","8, 10","6 mil polyester film, 6 mil polyester film",-,-,-,"10, 10",-,"Series at Fh, Series at Fh"," -, *at 11&22","Same conductor, Same conductor",6 mil polyester film+12 mil class-F insulating material (2) Provide 6 thick f/G duct between sy wdg and bobbin of py wdg,20,70x100,140,280,41 CRGO,96,73.5,,100 W,250 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,Refer GA,205 603 977 P6,GA 105 009 87 P6,
481,KAB 1847,INVERTER,,,75-83,single,,230,single,7.2,,Cont,AN,B,,38-42/116,1.98,50,"2 Sy, 2 Py","one,one","58,21","L-R,L-R","29,10 1/2","2,2","12 SWG Cu, 10x3 Cu","SE, F/G","2 Ss, one","5.75,8.4","(1)ID:72x140,OD:78x146(2)ID:72x75,OD:78x81-190 long 2 No's","79x147, 94x260","93x161, 112(120)x278(286)","171(190), 130(190)","7, 9","6 mil polyester film, 6 mil polyester film",-,-,-,"10,10",-,"Series at Finish, Series at Finish"," -,at 2","Same conductor, Same conductor",*(1)6 mil poly.film+6 mil thick class-F insulating material(2)10 thick F/G duct between Sy & bobbin of Py wdg(3)6 thick F/G duct between Sy & Py narrow end only,15mm,70x110,140,210,41 CRGO,96,69.5,,90 W,300 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,205 603 336x2 Nos,GA 105 009 878 P3,
482,KAB 1846,D.C.FILTER,,3.8mH,70,single,,,,,,Cont,AN,B,,22+22=44,,300,2,one,22,L-R,11,one,4x3 Cu,F/G,2 ab,4.25,"ID:52x130,OD:58x136-130 long F/G 2 Nos",59x137,75x153,115(130),8,-,-,-,-,10,-,Series at Finish,-,Same conductor,-,25,50x100,100,150,41 CRGO,96,23,ED 1681,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 804 P4,10.10.2000
483,KAB 1844,INVERTER,,,157-196,3 Ph  Delta ,23.76,415,3 Ph  Star,,DY 11,Cont,AN,B,,61-76/93,2.58,50,"3 Sy, 3 Py","one, one","93, 76","L-R, L-R","31, 25 1/3","3,3","10 SWG, 8x3","SE, F/G","2 Ss, one","24, 42","*ED 1590-P41-3 Nos, P42-3 Nos-F/G","79x172, 120x301","107x200, 150(160)x331(341)","230(260),242(260)","14, 15","6 mil polyester film,6 mil polyester film",-,-,-,"10,10",-,"Star, Delta"," -,at 61","16mm² cu.cable,35 mm² cu.cable",6 mil polyester film+6 thick F/G duct (on 4 sides),20,70x135,180,280,41 CRGO,96,166,ED 2185-P1(B),215 W,620 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 889 P1,25.07.2000
484,KAB 1843,L.G.Commutation,,0.55mH,18,Three,,,,,,Cont,AN,B,,22,,50,3,one,22,L-R,11,2,8x3  Cu,F/G,one,6,"ID:52x100,OD:58x106-130 long-F/G-3 Nos",59x107,79(85)x127(135),108(130),10,6 mil polyester film,-,-,-,10,-,Seprate leads,-,Same conductor,-,15,50x70,100,150,41,96,25.5 kg,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 803 P7,25.07.2000
485,KAB 1842,D.C.FILTER,,3.3mH,196,single,,,,,,Cont,AN,B,,26+26=52,,300,2,one,26,L-R,13,2,10x3 Cu,F/G,one,6,"ID:52x120,OD:58x126-180 long F/G-2 Nos",59x127,79(85)x147(155),154(180),10,6 mil polyester film,-,-,-,10,-,Series at Fh,-,Same conductor,-,15,50x90,100,200,41,96,24.5,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,(Item 15),GA 105 009 774,25.07.2000
486,KAB 1841,Integrated 3Ph -1Ph ,,,415,Open Delta,,230,Rev.Open.Delta,5,,Cont,AN,B,,234/75,1.77,50,"2 Sy, 2 Py","one, one","75, 234","L-R,L-R","37 1/2, 78","2, 3","11 SWG Cu, 13 SWG Cu","SE,SE","2 SS, one","8.75, 13.25","(1)ID:72x130, OD:78x136(2)ID:72x50, OD:78x56-260 long F/G,2 each","79x137, 96x221","95x153, 116(125)x241(255)","247(260),201(260)","8, 10","6 mil polyester film, 6 mil polyester film",-,-,-,"10, 10",-,"Rev.Open Delta, Open.Delta",-,"Same conductor, Same conductor",6 thick class -F insulating material -3 layers,40,70x100,105,280,41 CRGO,96,90,ED 1690,130 W,250 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 888,23.05.2000
487,KAB 1840,D.C.FILTER,,1.5mH,25,single,,,,,,Cont,AN,B,,24+24=48,,100,2,one,24,L-R,12,2,8x3 Cu.strip,F/G,2 ab,9,"ID:52x90,OD:58x96-130 long-F/G-2 Nos",59x97,103(110)x141(150),117(130),22,6 thick F/G duct,-,-,-,10,-,Series at Fh,-,Same conductor,-,35,50x60,150,150,41,96,16.5,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 804 P8,19.05.2000
488,KAB 1839,INPUT,,,230,single,,182,single,2,,Cont,AN,F,,146/116,,50,"1 Py, 1 Sy","one, one","146, 116","L-R, L-R","37, 37","4, 4","12 SWG Cu, 12 SWG Cu","S.E, S.E","one, one","3, 3",Std bobbin suitable for Type 8B SQ.stack F/G,"84x84, 113x113","112x112, 141(143)x141(143)","110, 110","14, 14",6 mil class F insulating material 6 mil class F insulating material,-,-,-,-,-,-,-,"Same conductor, Same conductor",6 mil thick class F insulating material-2 layers,3,Type 8.B SQ.stack,-,-,51,96,21,Std,32 W,65 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,105 009 399,22.05.2000
489,KAB 1838,D.C.FILTER,,20mH,123,single,,,,,,Cont,AN,F,,105,,100,one,one,105,L-R,22,5,12 SWG Cu,S.E,one,1.9,"Std bobbin suitable for Type 43, 3""stack -F/G",56x82,90(91)x116(117),68,17,6 mil class F insulating material,-,-,-,-,-,-,-,Same conductor,-,3,"Type 43,3""stack",-,-,51,96,8.6,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,IS 5553,SK 3008-4 Nos,201 500 314-1 No,105 009 375,20.05.2000
490,KAB 1837,POWER SUPPLY,,,230,single,,7.5-0-7.5,single,6,,Cont,AN,B,,2200/72-144,,50,"1 Py, 1 Sy","one, one","2200, 144","L-R,L-R","170, 36","13, 4","39 SWG Cu, 22 SWG Cu","Se, SE","one,one,one","35 gm, 40 gm",Std bobbin suitable for Type 23 SQ.stack,"24x24, 30x30","29x29, 35x35","23, 23","2.5, 2.5","2 mil presspham paper, 3 mil polyester film",-,-,-,-,-,-," -, at 72","14/0.2 pvc wire 150 mm long, Same conductor-150 mm long",5 mil pressphan paper+6 mil polyester film,0.5mm,Type 23 SQ.stack,-,-,51,96,0.32,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,IS 3156,Std,,,29.04.2000
491,KAB 1836,THIRD HARMONIC,,3mH,,single,,,,,,Cont,AN,B,,34+34=68,,50,2,one,34,L-R,17,2,8x3 Cu,F/G,one,6.5,"ID:72x95,Od:78x101-190 long-F/G 2 Nos",79x102,107(115)x130(138),162(190),14,6 thick F/G duct,-,-,-,10,-,Series at Finish,-,Same conductor,-,25 mm,70x65,140,210,41,96,29,ED 1691,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,105 009 885-P2,29.04.2000
492,KAB 1835,INPUT,,,415,3 Ph  Delta ,,246,3 Ph  Star,72.43,,Cont,AN,B,,79/27,5.25,50,"3 Py, 3 Sy","one, one","79, 27","L-R,L-R","one,one","79, 27","0.2x305 Al.foil, 0.2x305 Al.foil","Bare, Electrolytic,grade-Is 737","2 ab, 3ab","58.5, 40.5",ED 2119-P14-3 Nos,"115x223, 208x316","195x303, 246(250)x354(385)","325, 325","40, 19","3 mil poly.film, 3 mil poly.film",-,-,-,"5, 5",-,"Delta,Star",-,"50mm² cu.cable, 90mm² cu.cable",12 mil velson's class-F material+6 thick f/G duct,20,100x180,270,335,41,96,310,ED 2066-P8,400 W,1680 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 884 P4,01.06.2000
493,KAB 1834,SHUNT,,1.1mH,110,single,,,,,,Cont,AN,B,,13+13=26,,300,2,one,13,L-R,one,13,0.2x305 Al.foil,"Bare, Electrolytic,Annealed IS737",4 ab,9.5,"ID :72x150,OD:78x156-320 long-F/G-2 Nos",79x157,103(108)x181(200),320,12,3 mil polyester film,-,-,-,5,-,Series at Finish,-,110mm² cu.cable,-,20,70x120,130,330,41,96,69,ED 2159-P2,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 883 P4,20.04.2000
494,KAB 1833,INVERTER,,,184 each,single,,240-380,single,34,,Cont,AN,B,,58*Bifilar/76-120,3.17,50,"2 Sy, 2 Py","1,Bifilar","60, 29*Bifilar(Leads of Py1& Py2 should be shifted 180","one, one each (bifilar)","60, 29(bifilar)","0.5x305upto 38 turns,0.2x305",,"Bare then 0.2x305, Al.foil Electro9lytic",,"21,6,44","ID:102x150,OD:114x162(6 thick)(2) ID: 102(250)x378(445)","115x163, 185x","183x231, ","320,320","34, 29","3 mil poly.film, 3 mil poly.film each for both bifilar & interlayer",-,-,-,"5, 5",-,"Series at st, Series at st(both)","at 38,-","60mm² cu.cable, 40mm² cu.cable",9 mil poly.film+12 mil class-F insulating material-6 thick F/G duct at narrow end only,20,100x120,270,33,41,96,177,ED 2157-P2,230 W,880 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,105 009 887 P1,18.04.2000
495,KAB 1832,BUCK BOOST,,,145X2 Nos,single,,40,single,7.54,,Cont,AN,B,,72x2 Nos/20,2.01,50,"2 Py1,2 Py2,2 Sy","one, one, one","36,36,10","L-R,L-R, L-R","36,36,10","one, one, one","11 SWG Cu, 11 SWG Cu,10x3 side 7x3","S.E,Se,F/G, F/G","2 SS, 2 SS, 2ab,2ab","4.2,5, 7, 5",ED 1590-P39-2 Nos,"79x142, 98x161, 117x180","86x149, 105x168, 133(140)x196(205)","237(260), 237(260), 209(260)","3.5, 3.5, 8",-,-,-,-,"10,10,10",-,"Series at Fh, Series at Fh, Series at Fh",-,"Same conductor, Same conductor, Same conductor",6 thick F/G duct between all windings,20,70x105,165,280,41,96,58,ED 2160-P3,75 W,240 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 773,13.04.2000
496,KAB 1831,INPUT,,,415,single,,229-236,single,43.2,,Cont,AN,B,,116/64-66,3.57,50,"2 Py,2 Sy","one, one","58,33","L-R, L-R","one, one","58, 33","0.2x305 Al, 0.5x305 + 0.2x305 Al","Bare al.foil,Annealed -IS 737","2 ab , one, one","28, 30, 12",ED 2119-P11-2 Nos,"115x173, 197x255","185x243, 267(275)x325(375)","325, 325","35, 35","3 mil poly.film -6 thick F/G duct between 28 &29 turns, 3 mil poly.film-6 thick F/G duct between 16 &17 turns",-,-,-,"7.5, 7.5",-,"Series at st, Series at st"," -, at 32","50mm² cu.cable, 90mm² cu.cable",9 mil polyester film+6 thick F/G duct,20,100x130,300,340,41,96,146,ED 2160-P2,190 W,900 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 886-P1,03.04.2000
497,KAB 1830,D.C.FILTER,,2mH,30,single,,,,,,Cont,AN,B,,50,,100,one,one,50,L-R,12 1/2,4,13 SWG Cu,S.E,2 SS ,1.15,Std bobbin suitable for Type 43.SQ.stack,56x56,80(81)x80(81),68,12,6 mil polyester film,-,-,-,-,-,-,-,Same conductor with suitable tag,-,5,"Type 43, SQ.stack",-,-,51,96,5.7,Std,8 W,10 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5555,SK 300 8-4 Nos,201 500 314-1 No,105 009 375,30.03.2000
498,KAB 1829,INPUT,,,230,single,,37,single,0.63,,Cont,AN,B,,360/58,,50,"1 Py, 1 Sy","one, one","360, 58","L-R, L-R","62, 17","6, 4","17 SWG Cu, 12 SWG Cu","SE, SE","one, 2 SS","1.6, 2.2",Std bobbin suitable for Type 8.SQ.stack,"56x56, 81x81","80x80, 105(106)x105(106)","110, 110","12, 12","6 mil polyester film, 6 mil polyester film",-,-,-,-,-,-,-,Same conductor with suitable tag,6 mil polyester film +6 mil class F insulating material,7,"Type 8, SQ.stack",-,-,51,96,8,Std,12 W,35 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 3156,205 008 622-4 Nos,205 603 337-2 Nos,105 009 403,30.03.2000
499,KAB 1828,D.C.FILTER,,2mH,30,single,,,,,,Cont,AN,B,,50,,100,one,one,50,L-R,10,5,11 SWG Cu,S.E,3 SS,2.8,Std bobbin suitable for Type 8 SQ.stack,56x56,92(93)x92(93),110,18,6 mil polyester film,-,-,-,-,-,-,-,Same conductor with suitable tag,-,12,Type 89 SQ.stack,-,-,51,96,8,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,205 200 326-4 Nos,205 603 337-1 No,105 009 403,30.03.2000
500,KAB 1827,INPUT,,,230,single,,37,single,1.4,,Cont,AN,B,,230/37,10,50,"1 Py, 1 Sy","one,one","230, 37","L-R, L-R","41, 10","6, 4","13 SWG Cu, 11 SWG Cu","SE, SE","one, 3 SS","3, 3.2","Std bobbin suitable for Type 8,3""stack","56x82, 90x116","89x115, 117(118)x143(144)","110, 110","16.5, 13.5","6 mil polyester film, 6 mil polyester film",-,-,-,-,-,-,-,Same conductor with suitable tag,6 mil polyester film+ 6 mil class insulating material,3,"Type 8,3""stack",-,-,51,96,12,Std,18 W,55 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 3156,205 200 326-4 Nos,205 603 337-2 Nos,105 009 403,
501,KAB 1826,THIRD HARMONIC,,15mH,70,single,,,,,,Cont,AN,B,,120,,150,one,one,120,L-R,27,5,16 SWG Cu,SE,one,0.62,"Std bobbin suuitable Type 16, 2 1/2""stack",44x69,64x89,52,10,6 mil polyester film,-,-,-,-,-,-,-,Same conductor with suitable tag,-,3,"Type 16,2 1/2""stack",-,-,51,96,4.1,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,205 200 337(A),,105 009 387,29.03.2000
502,KAB 1825,INPUT,,,415,3 Ph  Delta ,,67?3,3 Ph  Star,16.18,,Cont,AN,B,,180/29,2.3,50,"3 Py, 3 Sy","one, one","180, 29","L-R, L-R","60, 29","3,one","11 SWG Cu, 7x3 Cu","SE, F/G","one, 2 ab","18.5, 23.5",ED 1590-P38-3 Nos,"79x157, 127x205","115x193, 143(150)x221(230)","260, 260","18, 8","6 thick F/G duct between 1 St & 2 nd layer,then 6 mil poly.film, -",-,-,-,"10, 10",-,"Delta, Star",-,"Same conductor, Same conductor",9 mil polyester film+6 thick F/G duct,20,70x120,175,280,41,96,109,ED 2066-P6,140 W,450 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,(GA),(Item 16 of GA),GA 105 009 82 P8,11.04.2000
503,KAB 1824,D.C.FILTER,,1mH,60,single,,,,,,Cont,AN,B,,54,,100,2,one,27,L-R,9,3,10x3 Cu,F/G,2 ab,15,"ID:52x120,OD:58x126-130 long F/G-2 Nos",59x127,121(128)x189(198),110(130),361,"6 thick F/G duct between 1 st & 2nd layer,6 mil poly film between 2nd & 3rd layer",-,-,-,10,-,Series at Fh,-,Same conductor,-,20,50x90,150,150,41,96,24.5,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 804 P7,29.03.2000
504,KAB 1823,INVERTER,,,79,single,,230,single,4.2,,Cont,AN,B,,40/116,1.97,50,"2 Sy, 2 Py","one, one","58, 20","L-R, L-R","29, 10","2,  2","12 SWG Cu, 10x3 Cu","SE, F/G","2 SS, one","5.75, 8","(1) ID:72x140, OD:78x146(2)ID:72x75,OD:78x81-190 long F/G 2 Nos","79x147, 94x260","93x161, 112(120)x278(286)","171(190), 121(190)","7, 9","6 mil polyester film, 6 mil polyester film",-,-,-,"10, 10",-,"Series at Fh, Series at Fh",-,"Same conductor, Same conductor",*(1)6 mil poly.film+6 mil thick class-F insulating material(2)10 thick F/G duct between Sy & bobbin of Py wdg(3)6 thick F/G duct between Sy & Py narrow end only,15 mm,70x110,140,210,41,96,68.5,ED 1694,90  W,130 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 1111,,As above,GA 105 009 878 P3,29.03.2000
505,KAB 1822,SHUNT,,30.2mH,230,single,,,,,,Cont,AN,B,,204,,50,2,one,102,L-R,17,6,11 SWG Cu,S.E,2 SS,13.5,"ID :52x130, OD:58x136-130 long -F/G, 2 Nos",59x137,123(130)x201(208),114(130),32,6 mil polyester film(Provide 6 thick F/G duct between 4 th& 5th layer,-,-,-,10,-,Series at Fh,-,Same conductor,-,20,50x100,150,150,41,96,27,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,,04.03.2000
506,KAB 1821,THIRD HARMONIC,,12.2mH,29,single,,,,,,Cont,AN,B,,64,,150,one,one,64,L-R,17,4,12 SWG Cu,S.E,one,0.9,"Std bobbin suitable for Type 16, 2 1/2"" stack",44x69,70x95,52,13,6 mil polyester film,-,-,-,-,-,-,-,Same conductor with suitable tag,-,1.5,"Type 16, 2 1/2"" stack",-,-,51,96,4.1,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,205 200 337(A),,105 009 387,29.03.2000
507,KAB 1821,THIRD HARMONIC,,12.2mH,29,single,,,,,,Cont,AN,B,,64,,150,one,one,64,L-R,17,4,12 SWG Cu,S.E,one,0.9,"Std bobbin suitable for Type 16, 2 1/2"" stack",44x69,70x95,52,13,6 mil polyester film,-,-,-,-,-,-,-,Same conductor with suitable tag,-,1.5,"Type 16, 2 1/2"" stack",-,-,51,96,4.1,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,205 200 337(A),,105 009 387,29.03.2000
508,KAB 1819,SHUNT,,76mH,230,single,,,,,,Cont,AN,B,,336,,50,2,one,168,L-R,56,3,12 SWG Cu,S.E,one,6,"ID:52x85,OD:58x91-180 long F/G, 2 Nos",59x92,85(90)x118(125),160(180),13,6 mil polyester film(Provide 3 thick F/G duct between 1st& 2nd layer,-,-,-,10,-,Series at Fh,-,Same conductor,-,10,50x55,100,200,41,96,15,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,,04.03.2000
509,KAB 1818,THIRD HARMONIC,,31mH,29,single,,,,,,Cont,AN,B,,104,,150,one,one,104,L-R,26,4,15 SWG Cu,S.E,one,0.6,std bobbin suitable for Type 16 Sq.stack,44x44,63x63,52,9.5,6 mil polyester film,-,-,-,-,-,-,-,Same conductor with suitable tag,-,4,Type 16 SQ.stack,-,-,51,96,2.5,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,205 200 337(A),,105 009 387,
